Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt6723592,2023-06-22,2023-06-22,,"Tenet","Tenet",https://www.imdb.com/title/tt6723592/,Movie,7.3,150,2020,"Action, Sci-Fi, Thriller",634660,2020-08-26,"Christopher Nolan",,
2,tt0482571,2023-06-22,2023-06-22,,"The Prestige","The Prestige",https://www.imdb.com/title/tt0482571/,Movie,8.5,130,2006,"Drama, Mystery, Sci-Fi, Thriller",1523806,2006-11-10,"Christopher Nolan",,
3,tt1631867,2023-06-22,2023-06-22,,"Edge of Tomorrow","Edge of Tomorrow",https://www.imdb.com/title/tt1631867/,Movie,7.9,113,2014,"Action, Adventure, Sci-Fi",777697,2014-05-30,"Doug Liman",,
4,tt0118715,2023-06-22,2023-06-22,,"The Big Lebowski","The Big Lebowski",https://www.imdb.com/title/tt0118715/,Movie,8.1,117,1998,"Comedy, Crime",894063,1998-04-24,"Joel Coen, Ethan Coen",,
5,tt0443706,2023-06-22,2023-06-22,,"Zodiac","Zodiac",https://www.imdb.com/title/tt0443706/,Movie,7.7,157,2007,"Crime, Drama, Mystery, Thriller",639875,2007-05-18,"David Fincher",,
6,tt0364569,2023-06-22,2023-06-22,,"Oldboy","Oldeuboi",https://www.imdb.com/title/tt0364569/,Movie,8.3,120,2003,"Action, Drama, Mystery, Thriller",684222,2004-10-15,"Park Chan-wook",,
7,tt0119217,2023-06-22,2023-06-22,,"Good Will Hunting","Good Will Hunting",https://www.imdb.com/title/tt0119217/,Movie,8.3,126,1997,"Drama, Romance",1145370,1998-03-06,"Gus Van Sant",,
8,tt0119174,2023-06-22,2023-06-22,,"The Game","The Game",https://www.imdb.com/title/tt0119174/,Movie,7.7,129,1997,"Drama, Mystery, Thriller",455060,1997-10-10,"David Fincher",,
9,tt3799694,2023-06-22,2023-06-22,,"The Nice Guys","The Nice Guys",https://www.imdb.com/title/tt3799694/,Movie,7.4,116,2016,"Action, Comedy, Crime, Mystery, Thriller",397384,2016-06-03,"Shane Black",,
10,tt1853728,2023-06-22,2023-06-22,,"Django Unchained","Django Unchained",https://www.imdb.com/title/tt1853728/,Movie,8.5,165,2012,"Drama, Western",1802028,2013-01-18,"Quentin Tarantino",,
11,tt8579674,2023-06-22,2023-06-22,,"1917","1917",https://www.imdb.com/title/tt8579674/,Movie,8.2,119,2019,"Action, Drama, War",733552,2020-01-10,"Sam Mendes",,
12,tt2119532,2023-06-22,2023-06-22,,"Hacksaw Ridge","Hacksaw Ridge",https://www.imdb.com/title/tt2119532/,Movie,8.1,139,2016,"Biography, Drama, History, War",642222,2017-01-26,"Mel Gibson",,
13,tt5013056,2023-06-22,2023-06-22,,"Dunkirk","Dunkirk",https://www.imdb.com/title/tt5013056/,Movie,7.8,106,2017,"Action, Drama, History, Thriller, War",777351,2017-07-21,"Christopher Nolan",,
14,tt7286456,2023-06-22,2023-06-22,,"Joker","Joker",https://www.imdb.com/title/tt7286456/,Movie,8.3,122,2019,"Crime, Drama, Thriller",1620092,2019-10-04,"Todd Phillips",,
15,tt6751668,2023-06-22,2023-06-22,,"Parasite","Gisaengchung",https://www.imdb.com/title/tt6751668/,Movie,8.5,132,2019,"Drama, Thriller",1075067,2020-02-07,"Bong Joon Ho",,
16,tt9243804,2023-06-22,2023-06-22,,"The Green Knight","The Green Knight",https://www.imdb.com/title/tt9243804/,Movie,6.6,130,2021,"Adventure, Drama, Fantasy",126748,2021-09-24,"David Lowery",,
17,tt5108870,2023-06-22,2023-06-22,,"Morbius","Morbius",https://www.imdb.com/title/tt5108870/,Movie,5.1,104,2022,"Action, Adventure, Horror, Sci-Fi, Thriller",165271,2022-03-31,"Daniel Espinosa",,
18,tt8404256,2023-06-22,2023-06-22,,"Snake Eyes","Snake Eyes: G.I. Joe Origins",https://www.imdb.com/title/tt8404256/,Movie,5.4,121,2021,"Action, Adventure, Crime, Fantasy, Sci-Fi, Thriller",46859,2021-08-18,"Robert Schwentke",,
19,tt2543164,2023-06-22,2023-06-22,,"Arrival","Arrival",https://www.imdb.com/title/tt2543164/,Movie,7.9,116,2016,"Drama, Mystery, Sci-Fi",823459,2016-11-10,"Denis Villeneuve",,
20,tt0196229,2023-06-22,2023-06-22,,"Zoolander","Zoolander",https://www.imdb.com/title/tt0196229/,Movie,6.5,90,2001,"Comedy",307153,2001-11-30,"Ben Stiller",,
21,tt1637688,2023-06-22,2023-06-22,,"In Time","In Time",https://www.imdb.com/title/tt1637688/,Movie,6.7,109,2011,"Action, Sci-Fi, Thriller",469409,2011-11-01,"Andrew Niccol",,
22,tt1630029,2023-06-22,2023-06-22,,"Avatar: The Way of Water","Avatar: The Way of Water",https://www.imdb.com/title/tt1630029/,Movie,7.5,192,2022,"Action, Adventure, Fantasy, Sci-Fi",537864,2022-12-16,"James Cameron",,
23,tt0499549,2023-06-22,2023-06-22,,"Avatar","Avatar",https://www.imdb.com/title/tt0499549/,Movie,7.9,162,2009,"Action, Adventure, Fantasy, Sci-Fi",1435696,2009-12-17,"James Cameron",,
24,tt8883486,2023-06-22,2023-06-22,,"Medieval","Medieval",https://www.imdb.com/title/tt8883486/,Movie,5.9,125,2022,"Action, Drama, History, War",14045,2022-10-28,"Petr Jákl",,
25,tt4633690,2023-06-22,2023-06-22,,"Shot Caller","Shot Caller",https://www.imdb.com/title/tt4633690/,Movie,7.3,121,2017,"Crime, Drama, Thriller",108498,2017-12-15,"Ric Roman Waugh",,
26,tt0118583,2023-06-22,2023-06-22,,"Alien: Resurrection","Alien: Resurrection",https://www.imdb.com/title/tt0118583/,Movie,6.2,109,1997,"Action, Horror, Sci-Fi",283247,1997-11-28,"Jean-Pierre Jeunet",,
27,tt0103644,2023-06-22,2023-06-22,,"Alien³","Alien³",https://www.imdb.com/title/tt0103644/,Movie,6.4,114,1992,"Action, Horror, Sci-Fi",341986,1992-08-21,"David Fincher",,
28,tt0090605,2023-06-22,2023-06-22,,"Aliens","Aliens",https://www.imdb.com/title/tt0090605/,Movie,8.4,137,1986,"Action, Adventure, Horror, Sci-Fi, Thriller",812710,1986-08-29,"James Cameron",,
29,tt0082198,2023-06-22,2023-06-22,,"Conan the Barbarian","Conan the Barbarian",https://www.imdb.com/title/tt0082198/,Movie,6.9,129,1982,"Adventure, Fantasy",168874,1982-08-26,"John Milius",,
30,tt0088944,2023-06-22,2023-06-22,,"Commando","Commando",https://www.imdb.com/title/tt0088944/,Movie,6.7,90,1985,"Action, Adventure, Thriller",182660,1986-02-21,"Mark L. Lester",,
31,tt0780504,2023-06-22,2023-06-22,,"Drive","Drive",https://www.imdb.com/title/tt0780504/,Movie,7.8,100,2011,"Action, Drama",739307,2011-09-23,"Nicolas Winding Refn",,
32,tt1608290,2023-06-22,2023-06-22,,"Zoolander 2","Zoolander 2",https://www.imdb.com/title/tt1608290/,Movie,4.7,101,2016,"Action, Adventure, Comedy, Mystery, Romance",79443,2016-02-06,"Ben Stiller",,
33,tt2234155,2023-06-22,2023-06-22,,"The Internship","The Internship",https://www.imdb.com/title/tt2234155/,Movie,6.3,119,2013,"Comedy",222259,2013-07-03,"Shawn Levy",,
34,tt0433362,2023-06-22,2023-06-22,,"Daybreakers","Daybreakers",https://www.imdb.com/title/tt0433362/,Movie,6.4,98,2009,"Action, Horror, Sci-Fi, Thriller",138494,2010-01-06,"Michael Spierig, Peter Spierig",,
35,tt1649418,2023-06-22,2023-06-22,,"The Gray Man","The Gray Man",https://www.imdb.com/title/tt1649418/,Movie,6.5,122,2022,"Action, Mystery, Thriller",260420,2022-07-15,"Joe Russo, Anthony Russo",,
36,tt14826022,2023-06-22,2023-06-22,,"You People","You People",https://www.imdb.com/title/tt14826022/,Movie,5.5,117,2023,"Comedy, Romance",65774,2023-01-27,"Kenya Barris",,
37,tt8009428,2023-06-22,2023-06-22,,"Hustle","Hustle",https://www.imdb.com/title/tt8009428/,Movie,7.3,117,2022,"Comedy, Drama, Sport",155963,2022-06-08,"Jeremiah Zagar",,
38,tt14309446,2023-06-22,2023-06-22,,"Me Time","Me Time",https://www.imdb.com/title/tt14309446/,Movie,5.1,101,2022,"Comedy",43539,2022-08-26,"John Hamburg",,
39,tt0120749,2023-06-22,2023-06-22,,"Mercury Rising","Mercury Rising",https://www.imdb.com/title/tt0120749/,Movie,6.1,111,1998,"Action, Crime, Drama, Thriller",79833,1998-10-02,"Harold Becker",,
40,tt9114286,2023-06-22,2023-06-22,,"Black Panther: Wakanda Forever","Black Panther: Wakanda Forever",https://www.imdb.com/title/tt9114286/,Movie,6.6,161,2022,"Action, Adventure, Drama, Sci-Fi",335037,2022-11-11,"Ryan Coogler",,
41,tt10954600,2023-06-22,2023-06-22,,"Ant-Man and the Wasp: Quantumania","Ant-Man and the Wasp: Quantumania",https://www.imdb.com/title/tt10954600/,Movie,6.0,124,2023,"Action, Adventure, Comedy, Sci-Fi",253704,2023-02-17,"Peyton Reed",,
42,tt0164334,2023-06-22,2023-06-22,,"Along Came a Spider","Along Came a Spider",https://www.imdb.com/title/tt0164334/,Movie,6.4,104,2001,"Crime, Drama, Mystery, Thriller",99564,2001-05-04,"Lee Tamahori",,
43,tt0251075,2023-06-22,2023-06-22,,"Evolution","Evolution",https://www.imdb.com/title/tt0251075/,Movie,6.1,101,2001,"Comedy, Sci-Fi",139930,2001-06-22,"Ivan Reitman",,
44,tt0816692,2023-06-22,2023-06-22,,"Interstellar","Interstellar",https://www.imdb.com/title/tt0816692/,Movie,8.7,169,2014,"Adventure, Drama, Sci-Fi",2364929,2014-11-07,"Christopher Nolan",,
45,tt4572514,2023-06-22,2023-06-22,,"Patriots Day","Patriots Day",https://www.imdb.com/title/tt4572514/,Movie,7.3,133,2016,"Action, Crime, Drama, History, Thriller",119035,2017-02-23,"Peter Berg",,
46,tt1302006,2023-06-22,2023-06-22,,"The Irishman","The Irishman",https://www.imdb.com/title/tt1302006/,Movie,7.8,209,2019,"Biography, Crime, Drama, History, Thriller",455605,2019-11-27,"Martin Scorsese",,
47,tt1045778,2023-06-22,2023-06-22,,"Year One","Year One",https://www.imdb.com/title/tt1045778/,Movie,4.9,97,2009,"Comedy",106872,2009-06-26,"Harold Ramis",,
48,tt7131622,2023-06-22,2023-06-22,,"Once Upon a Time... in Hollywood","Once Upon a Time in... Hollywood",https://www.imdb.com/title/tt7131622/,Movie,7.6,161,2019,"Comedy, Drama",915117,2019-08-14,"Quentin Tarantino",,
49,tt2906216,2023-06-22,2023-06-22,,"Dungeons & Dragons: Honour Among Thieves","Dungeons & Dragons: Honor Among Thieves",https://www.imdb.com/title/tt2906216/,Movie,7.2,134,2023,"Action, Adventure, Comedy, Fantasy",262388,2023-03-31,"John Francis Daley, Jonathan Goldstein",,
50,tt6718170,2023-06-22,2023-06-22,,"The Super Mario Bros. Movie","The Super Mario Bros. Movie",https://www.imdb.com/title/tt6718170/,Movie,7.0,92,2023,"Animation, Adventure, Comedy, Family, Fantasy",272270,2023-04-05,"Aaron Horvath, Michael Jelenic, Pierre Leduc, Fabien Polack",,
51,tt6475714,2023-06-22,2023-06-22,,"Monster Hunter","Monster Hunter",https://www.imdb.com/title/tt6475714/,Movie,5.2,103,2020,"Action, Adventure, Fantasy",72376,2021-06-18,"Paul W.S. Anderson",,
52,tt6791350,2023-06-22,2023-06-22,,"Guardians of the Galaxy Vol. 3","Guardians of the Galaxy Vol. 3",https://www.imdb.com/title/tt6791350/,Movie,7.9,150,2023,"Action, Adventure, Comedy, Sci-Fi",434808,2023-05-03,"James Gunn",,
53,tt5433138,2023-06-22,2023-06-22,,"Fast & Furious 9","F9",https://www.imdb.com/title/tt5433138/,Movie,5.2,143,2021,"Action, Crime, Thriller",172781,2021-06-24,"Justin Lin",,
54,tt1821427,2023-07-11,2023-07-11,,"Offender","Offender",https://www.imdb.com/title/tt1821427/,Movie,6.0,102,2012,"Crime, Drama, Thriller",5089,2012-08-08,"Ron Scalpello",,
55,tt2567712,2023-07-11,2023-07-11,,"Starred Up","Starred Up",https://www.imdb.com/title/tt2567712/,Movie,7.3,106,2013,"Crime, Drama, Thriller",50284,2014-03-21,"David Mackenzie",,
56,tt5657856,2023-07-11,2023-07-11,,"Brawl in Cell Block 99","Brawl in Cell Block 99",https://www.imdb.com/title/tt5657856/,Movie,7.1,132,2017,"Crime, Drama, Thriller",80872,2017-10-20,"S. Craig Zahler",,
57,tt2494362,2023-07-11,2023-07-11,,"Bone Tomahawk","Bone Tomahawk",https://www.imdb.com/title/tt2494362/,Movie,7.1,132,2015,"Drama, Horror, Western",132572,2016-02-19,"S. Craig Zahler",,
58,tt1706620,2023-07-18,2023-07-18,,"Snowpiercer","Snowpiercer",https://www.imdb.com/title/tt1706620/,Movie,7.1,126,2013,"Action, Sci-Fi, Thriller",408702,2018-10,"Bong Joon Ho",,
59,tt2717822,2023-07-20,2023-07-20,,"Blackhat","Blackhat",https://www.imdb.com/title/tt2717822/,Movie,5.5,133,2015,"Action, Crime, Thriller",66218,2015-02-20,"Michael Mann",,
60,tt1082807,2023-07-20,2023-07-20,,"The Belko Experiment","The Belko Experiment",https://www.imdb.com/title/tt1082807/,Movie,6.2,89,2016,"Horror, Thriller",63609,2017-04-21,"Greg McLean",,
61,tt2071550,2023-07-20,2023-07-20,,"Open Grave","Open Grave",https://www.imdb.com/title/tt2071550/,Movie,6.1,102,2013,"Horror, Mystery, Sci-Fi, Thriller",32271,2014-01-03,"Gonzalo López-Gallego",,
62,tt3813310,2023-07-20,2023-07-20,,"Cop Car","Cop Car",https://www.imdb.com/title/tt3813310/,Movie,6.3,88,2015,"Crime, Thriller",36139,2015-08-07,"Jon Watts",,
63,tt1152836,2023-07-20,2023-07-20,,"Public Enemies","Public Enemies",https://www.imdb.com/title/tt1152836/,Movie,6.9,140,2009,"Biography, Crime, Drama, History",329549,2009-07-01,"Michael Mann",,
64,tt0430357,2023-07-20,2023-07-20,,"Miami Vice","Miami Vice",https://www.imdb.com/title/tt0430357/,Movie,6.1,132,2006,"Action, Crime, Drama, Thriller",127890,2006-08-04,"Michael Mann",,
65,tt0421073,2023-07-20,2023-07-20,,"Street Kings","Street Kings",https://www.imdb.com/title/tt0421073/,Movie,6.8,109,2008,"Action, Crime, Thriller",124424,2008-04-18,"David Ayer",,
66,tt0431197,2023-07-20,2023-07-20,,"The Kingdom","The Kingdom",https://www.imdb.com/title/tt0431197/,Movie,7.0,110,2007,"Action, Drama, Thriller",135329,2007-10-05,"Peter Berg",,
67,tt0947810,2023-07-20,2023-07-20,,"Green Zone","Green Zone",https://www.imdb.com/title/tt0947810/,Movie,6.8,115,2010,"Action, Drama, Thriller, War",145643,2010-03-12,"Paul Greengrass",,
68,tt0418763,2023-07-20,2023-07-20,,"Jarhead","Jarhead",https://www.imdb.com/title/tt0418763/,Movie,7.0,125,2005,"Biography, Drama, War",216999,2006-01-13,"Sam Mendes",,
69,tt0120188,2023-07-20,2023-07-20,,"Three Kings","Three Kings",https://www.imdb.com/title/tt0120188/,Movie,7.1,114,1999,"Action, Adventure, Comedy, Drama, War",184767,2000-03-03,"David O. Russell",,
70,tt0314353,2023-07-20,2023-07-20,,"Tears of the Sun","Tears of the Sun",https://www.imdb.com/title/tt0314353/,Movie,6.6,121,2003,"Action, Drama, Thriller, War",135013,2003-09-12,"Antoine Fuqua",,
71,tt0159273,2023-07-20,2023-07-20,,"Behind Enemy Lines","Behind Enemy Lines",https://www.imdb.com/title/tt0159273/,Movie,6.4,106,2001,"Action, Drama, Thriller, War",117070,2002-01-04,"John Moore",,
72,tt0758774,2023-07-20,2023-07-20,,"Body of Lies","Body of Lies",https://www.imdb.com/title/tt0758774/,Movie,7.0,128,2008,"Action, Drama, Thriller",246049,2008-11-21,"Ridley Scott",,
73,tt0292506,2023-07-20,2023-07-20,,"The Recruit","The Recruit",https://www.imdb.com/title/tt0292506/,Movie,6.6,115,2003,"Action, Thriller",145201,2003-03-28,"Roger Donaldson",,
74,tt4172430,2023-07-20,2023-07-20,,"13 Hours","13 Hours: The Secret Soldiers of Benghazi",https://www.imdb.com/title/tt4172430/,Movie,7.3,144,2016,"Action, Drama, History, Thriller, War",173053,2016-01-29,"Michael Bay",,
75,tt1091191,2023-07-20,2023-07-20,,"Lone Survivor","Lone Survivor",https://www.imdb.com/title/tt1091191/,Movie,7.5,121,2013,"Action, Biography, Drama, War",316776,2014-01-31,"Peter Berg",,
76,tt1059786,2023-07-20,2023-07-20,,"Eagle Eye","Eagle Eye",https://www.imdb.com/title/tt1059786/,Movie,6.6,118,2008,"Action, Mystery, Thriller",198912,2008-10-17,"D.J. Caruso",,
77,tt0360486,2023-07-20,2023-07-20,,"Constantine","Constantine",https://www.imdb.com/title/tt0360486/,Movie,7.0,121,2005,"Action, Fantasy, Horror, Mystery",395310,2005-03-18,"Francis Lawrence",,
78,tt1335975,2023-07-20,2023-07-20,,"47 Ronin","47 Ronin",https://www.imdb.com/title/tt1335975/,Movie,6.2,128,2013,"Action, Drama, Fantasy",176071,2013-12-26,"Carl Rinsch",,
79,tt0475394,2023-07-20,2023-07-20,,"Smokin' Aces","Smokin' Aces",https://www.imdb.com/title/tt0475394/,Movie,6.6,109,2006,"Action, Comedy, Crime, Drama, Thriller",155482,2007-01-12,"Joe Carnahan",,
80,tt5362988,2023-08-01,2023-08-01,,"Wind River","Wind River",https://www.imdb.com/title/tt5362988/,Movie,7.7,107,2017,"Crime, Drama, Mystery, Thriller, Western",298510,2017-09-08,"Taylor Sheridan",,
81,tt0840361,2023-08-01,2023-08-01,,"The Town","The Town",https://www.imdb.com/title/tt0840361/,Movie,7.5,125,2010,"Crime, Drama, Thriller",433747,2010-09-24,"Ben Affleck",,
82,tt2582782,2023-08-01,2023-08-01,,"Hell or High Water","Hell or High Water",https://www.imdb.com/title/tt2582782/,Movie,7.6,102,2016,"Crime, Drama, Thriller, Western",266893,2016-09-09,"David Mackenzie",,
83,tt1212450,2023-08-01,2023-08-01,,"Lawless","Lawless",https://www.imdb.com/title/tt1212450/,Movie,7.2,116,2012,"Biography, Crime, Drama, Thriller",259300,2012-09-07,"John Hillcoat",,
84,tt1600196,2023-08-01,2023-08-01,,"The Drop","The Drop",https://www.imdb.com/title/tt1600196/,Movie,7.0,106,2014,"Crime, Drama, Mystery, Thriller",166869,2014-11-14,"Michaël R. Roskam",,
85,tt1855199,2023-08-01,2023-08-01,,"End of Watch","End of Watch",https://www.imdb.com/title/tt1855199/,Movie,7.6,109,2012,"Action, Crime, Drama, Thriller",282677,2012-11-23,"David Ayer",,
86,tt5761544,2023-08-01,2023-08-01,,"Kandahar","Kandahar",https://www.imdb.com/title/tt5761544/,Movie,6.1,119,2023,"Action, Drama, Thriller",41749,2023-07-18,"Ric Roman Waugh",,
87,tt2397535,2023-08-12,2023-08-12,,"Predestination","Predestination",https://www.imdb.com/title/tt2397535/,Movie,7.4,97,2014,"Action, Drama, Sci-Fi, Thriller",323827,2015-02-20,"Michael Spierig, Peter Spierig",,
88,tt13872248,2023-08-12,2023-08-12,,"The Sadness","Ku bei",https://www.imdb.com/title/tt13872248/,Movie,6.5,99,2021,"Horror, Thriller",23615,2021-01-22,"Rob Jabbaz",,
89,tt2872732,2023-12-07,2023-12-07,,"Lucy","Lucy",https://www.imdb.com/title/tt2872732/,Movie,6.4,89,2014,"Action, Sci-Fi, Thriller",560339,2014-08-22,"Luc Besson",,
90,tt6378710,2023-12-12,2023-12-12,,"Villains","Villains",https://www.imdb.com/title/tt6378710/,Movie,6.2,90,2019,"Comedy, Drama, Horror, Thriller",22429,2019-09-20,"Dan Berk, Robert Olsen",,
